student_id,job_satisfaction,job_meaningful,hours_classwork,has_pets
S001,Very dissatisfied,Yes,27.0,Yes
S002,Neutral,Yes,1.5,Yes
S003,Somewhat satisfied,Yes,30.0,Yes
S004,Very satisfied,No,1.5,Yes
S005,Somewhat satisfied,Yes,5.5,Yes
S006,Very satisfied,Yes,10.5,Yes
S007,Somewhat dissatisfied,Yes,5.5,Yes
S008,Somewhat satisfied,Yes,20.0,Yes
S009,Somewhat satisfied,Yes,29.5,Yes
S010,Somewhat satisfied,Yes,8.5,Yes
S011,Somewhat satisfied,Yes,12.0,Yes
S012,Very satisfied,Yes,20.5,Yes
S013,Somewhat satisfied,Yes,19.5,Yes
S014,Neutral,Yes,1.5,Yes
S015,Very satisfied,Yes,6.0,Yes
S016,Somewhat satisfied,No,9.0,Yes
S017,Somewhat satisfied,Yes,3.0,Yes
S018,Somewhat dissatisfied,No,1.5,Yes
S019,Somewhat satisfied,No,8.0,Yes
S020,Very dissatisfied,Yes,1.5,Yes
S021,Somewhat satisfied,Yes,1.5,Yes
S022,Somewhat satisfied,Yes,5.0,Yes
S023,Somewhat satisfied,Yes,20.0,Yes
S024,Extremely dissatisfied,Yes,28.0,Yes
S025,Somewhat satisfied,Yes,9.5,Yes
S026,Somewhat satisfied,Yes,27.5,Yes
S027,Extremely Satisfied,Yes,3.0,Yes
S028,Somewhat dissatisfied,No,1.5,Yes
S029,Somewhat satisfied,Yes,6.0,Yes
S030,Somewhat satisfied,Yes,19.0,Yes
S031,Somewhat satisfied,No,19.0,Yes
S032,Very dissatisfied,Yes,19.5,Yes
S033,Somewhat dissatisfied,No,10.0,Yes
S034,Somewhat satisfied,Yes,9.5,Yes
S035,Somewhat satisfied,Yes,21.0,Yes
S036,Somewhat satisfied,Yes,1.5,Yes
S037,Somewhat satisfied,Yes,21.0,Yes
S038,Very dissatisfied,Yes,1.5,Yes
S039,Very dissatisfied,Yes,1.5,Yes
S040,Somewhat dissatisfied,Yes,21.5,No
S041,Extremely Satisfied,Sometimes,4.0,No
S042,Neutral,Sometimes,2.0,No
S043,Very satisfied,Yes,1.5,No
S044,Somewhat satisfied,Sometimes,10.5,No
S045,Very dissatisfied,Sometimes,31.0,No
S046,Very dissatisfied,Sometimes,12.5,No
S047,Very satisfied,Sometimes,11.5,No
S048,Somewhat satisfied,Yes,10.0,No
S049,Extremely Satisfied,Yes,29.0,No
S050,Neutral,No,9.5,No
